Entry	Entry Name	Protein names	Gene Names	Organism	Length	Domain [FT]
A0A2K5EJN5	A0A2K5EJN5_AOTNA	Engulfment and cell motility 3	ELMO3	Aotus nancymaae (Ma's night monkey)	773	DOMAIN 360..532; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5IDL3	A0A2K5IDL3_COLAP	ELMO domain-containing protein		Colobus angolensis palliatus (Peters' Angolan colobus)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5IG03	A0A2K5IG03_COLAP	ELMO domain-containing protein		Colobus angolensis palliatus (Peters' Angolan colobus)	775	DOMAIN 362..534; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5IL87	A0A2K5IL87_COLAP	Adapter molecule crk		Colobus angolensis palliatus (Peters' Angolan colobus)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5ILU7	A0A2K5ILU7_COLAP	Adapter molecule crk		Colobus angolensis palliatus (Peters' Angolan colobus)	287	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5JNX9	A0A2K5JNX9_COLAP	CRK like proto-oncogene, adaptor protein		Colobus angolensis palliatus (Peters' Angolan colobus)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5KEM2	A0A2K5KEM2_COLAP	ELMO domain-containing protein		Colobus angolensis palliatus (Peters' Angolan colobus)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5KEM5	A0A2K5KEM5_COLAP	ELMO domain-containing protein		Colobus angolensis palliatus (Peters' Angolan colobus)	726	DOMAIN 317..491; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5L4W5	A0A2K5L4W5_CERAT	Engulfment and cell motility 2	ELMO2	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5L4Y7	A0A2K5L4Y7_CERAT	Engulfment and cell motility 2	ELMO2	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	716	DOMAIN 307..481; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5MA78	A0A2K5MA78_CERAT	Engulfment and cell motility 3	ELMO3	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5MA85	A0A2K5MA85_CERAT	Engulfment and cell motility 3	ELMO3	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	590	DOMAIN 177..349; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5MA93	A0A2K5MA93_CERAT	Engulfment and cell motility 3	ELMO3	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	754	DOMAIN 341..513; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5MA99	A0A2K5MA99_CERAT	Engulfment and cell motility 3	ELMO3	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	763	DOMAIN 350..522; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5N8R6	A0A2K5N8R6_CERAT	CRK like proto-oncogene, adaptor protein	CRKL	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5NBI5	A0A2K5NBI5_CERAT	Engulfment and cell motility 1	ELMO1	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5NLC2	A0A2K5NLC2_CERAT	CRK proto-oncogene, adaptor protein	CRK	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5NLD9	A0A2K5NLD9_CERAT	CRK proto-oncogene, adaptor protein	CRK	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	288	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5PWE2	A0A2K5PWE2_CEBIM	Engulfment and cell motility 2	ELMO2	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5PWN4	A0A2K5PWN4_CEBIM	Engulfment and cell motility 2	ELMO2	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	727	DOMAIN 318..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5QR47	A0A2K5QR47_CEBIM	Engulfment and cell motility 3	ELMO3	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	607	DOMAIN 194..366; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5QR54	A0A2K5QR54_CEBIM	Engulfment and cell motility 3	ELMO3	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	634	DOMAIN 194..366; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5R0D9	A0A2K5R0D9_CEBIM	Engulfment and cell motility 1	ELMO1	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5RJG6	A0A2K5RJG6_CEBIM	CRK proto-oncogene, adaptor protein	CRK	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5RJI5	A0A2K5RJI5_CEBIM	CRK proto-oncogene, adaptor protein	CRK	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	202	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"
A0A2K5S5E3	A0A2K5S5E3_CEBIM	CRK like proto-oncogene, adaptor protein	CRKL	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5TXT1	A0A2K5TXT1_MACFA	Engulfment and cell motility 1	ELMO1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	725	DOMAIN 317..490; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5TXT2	A0A2K5TXT2_MACFA	Engulfment and cell motility 1	ELMO1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	693	DOMAIN 285..458; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5TXV2	A0A2K5TXV2_MACFA	Engulfment and cell motility 1	ELMO1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	670	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5VCF6	A0A2K5VCF6_MACFA	Engulfment and cell motility 2	ELMO2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	727	DOMAIN 318..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5VCK1	A0A2K5VCK1_MACFA	Engulfment and cell motility 2	ELMO2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	657	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5WQB0	A0A2K5WQB0_MACFA	Engulfment and cell motility 3	ELMO3	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	607	DOMAIN 194..366; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5X7X9	A0A2K5X7X9_MACFA	CRK proto-oncogene, adaptor protein	CRK	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5XN82	A0A2K5XN82_MANLE	CRK proto-oncogene, adaptor protein	CRK	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	245	DOMAIN 73..133; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 176..237; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5YTV7	A0A2K5YTV7_MANLE	Engulfment and cell motility 2	ELMO2	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5YTW2	A0A2K5YTW2_MANLE	Engulfment and cell motility 2	ELMO2	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	726	DOMAIN 317..491; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5YVD1	A0A2K5YVD1_MANLE	CRK like proto-oncogene, adaptor protein	CRKL	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K5YZU2	A0A2K5YZU2_MANLE	Engulfment and cell motility 1	ELMO1	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5YZW7	A0A2K5YZW7_MANLE	Engulfment and cell motility 3	ELMO3	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	723	DOMAIN 310..482; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K5YZW8	A0A2K5YZW8_MANLE	Engulfment and cell motility 3	ELMO3	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	738	DOMAIN 325..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6ARS9	A0A2K6ARS9_MACNE	Engulfment and cell motility 1	ELMO1	Macaca nemestrina (Pig-tailed macaque)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6C7G7	A0A2K6C7G7_MACNE	CRK like proto-oncogene, adaptor protein	CRKL	Macaca nemestrina (Pig-tailed macaque)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6CCL9	A0A2K6CCL9_MACNE	Engulfment and cell motility 2	ELMO2	Macaca nemestrina (Pig-tailed macaque)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6CCN1	A0A2K6CCN1_MACNE	Engulfment and cell motility 2	ELMO2	Macaca nemestrina (Pig-tailed macaque)	711	DOMAIN 302..476; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6CVB0	A0A2K6CVB0_MACNE	Engulfment and cell motility 3	ELMO3	Macaca nemestrina (Pig-tailed macaque)	734	DOMAIN 321..493; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6CVB7	A0A2K6CVB7_MACNE	Engulfment and cell motility 3	ELMO3	Macaca nemestrina (Pig-tailed macaque)	751	DOMAIN 338..510; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6CVC0	A0A2K6CVC0_MACNE	Engulfment and cell motility 3	ELMO3	Macaca nemestrina (Pig-tailed macaque)	761	DOMAIN 348..520; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6CVI6	A0A2K6CVI6_MACNE	Engulfment and cell motility 3	ELMO3	Macaca nemestrina (Pig-tailed macaque)	590	DOMAIN 177..349; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6D8Z1	A0A2K6D8Z1_MACNE	CRK proto-oncogene, adaptor protein	CRK	Macaca nemestrina (Pig-tailed macaque)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6D901	A0A2K6D901_MACNE	CRK proto-oncogene, adaptor protein	CRK	Macaca nemestrina (Pig-tailed macaque)	228	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"
A0A2K6D925	A0A2K6D925_MACNE	CRK proto-oncogene, adaptor protein	CRK	Macaca nemestrina (Pig-tailed macaque)	288	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6FWK5	A0A2K6FWK5_PROCO	CRK proto-oncogene, adaptor protein	CRK	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6GPG7	A0A2K6GPG7_PROCO	Engulfment and cell motility 3	ELMO3	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	731	DOMAIN 318..490; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6GPH1	A0A2K6GPH1_PROCO	Engulfment and cell motility 3	ELMO3	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	590	DOMAIN 177..349; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6GPJ7	A0A2K6GPJ7_PROCO	Engulfment and cell motility 3	ELMO3	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	748	DOMAIN 335..507; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6GQ98	A0A2K6GQ98_PROCO	Engulfment and cell motility 1	ELMO1	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6GUK3	A0A2K6GUK3_PROCO	CRK like proto-oncogene, adaptor protein	CRKL	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6GXS7	A0A2K6GXS7_PROCO	Engulfment and cell motility 2	ELMO2	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	715	DOMAIN 306..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6GXU4	A0A2K6GXU4_PROCO	Engulfment and cell motility 2	ELMO2	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6JQF3	A0A2K6JQF3_RHIBE	CRK proto-oncogene, adaptor protein	CRK	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6JQG0	A0A2K6JQG0_RHIBE	CRK proto-oncogene, adaptor protein	CRK	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	287	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6JRZ0	A0A2K6JRZ0_RHIBE	Engulfment and cell motility 1	ELMO1	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	692	DOMAIN 266..457; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6JS04	A0A2K6JS04_RHIBE	Engulfment and cell motility 1	ELMO1	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	675	DOMAIN 249..440; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6L3R0	A0A2K6L3R0_RHIBE	Engulfment and cell motility 3	ELMO3	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	768	DOMAIN 355..527; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6L3R7	A0A2K6L3R7_RHIBE	Engulfment and cell motility 3	ELMO3	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	751	DOMAIN 338..510; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6M0Y3	A0A2K6M0Y3_RHIBE	CRK like proto-oncogene, adaptor protein	CRKL	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6MN37	A0A2K6MN37_RHIBE	Engulfment and cell motility 2	ELMO2	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	718	DOMAIN 309..483; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6MN53	A0A2K6MN53_RHIBE	Engulfment and cell motility 2	ELMO2	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	632	DOMAIN 223..397; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6Q388	A0A2K6Q388_RHIRO	CRK proto-oncogene, adaptor protein	CRK	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6Q393	A0A2K6Q393_RHIRO	CRK proto-oncogene, adaptor protein	CRK	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	287	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6R649	A0A2K6R649_RHIRO	Engulfment and cell motility 1	ELMO1	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	650	DOMAIN 302..475; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6R652	A0A2K6R652_RHIRO	Engulfment and cell motility 1	ELMO1	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	667	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6R663	A0A2K6R663_RHIRO	Engulfment and cell motility 1	ELMO1	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6RHK3	A0A2K6RHK3_RHIRO	Engulfment and cell motility 2	ELMO2	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6RHK9	A0A2K6RHK9_RHIRO	Engulfment and cell motility 2	ELMO2	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	726	DOMAIN 317..491; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6RHN4	A0A2K6RHN4_RHIRO	CRK like proto-oncogene, adaptor protein	CRKL	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6RRZ5	A0A2K6RRZ5_RHIRO	Engulfment and cell motility 3	ELMO3	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	635	DOMAIN 222..394; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6RS02	A0A2K6RS02_RHIRO	Engulfment and cell motility 3	ELMO3	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	607	DOMAIN 194..366; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6RS05	A0A2K6RS05_RHIRO	Engulfment and cell motility 3	ELMO3	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	757	DOMAIN 344..516; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6RS27	A0A2K6RS27_RHIRO	Engulfment and cell motility 3	ELMO3	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	774	DOMAIN 361..533; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6SHS6	A0A2K6SHS6_SAIBB	Engulfment and cell motility 3	ELMO3	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6TC70	A0A2K6TC70_SAIBB	Engulfment and cell motility 2	ELMO2	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6TCB0	A0A2K6TCB0_SAIBB	Engulfment and cell motility 2	ELMO2	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	727	DOMAIN 318..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6TEM2	A0A2K6TEM2_SAIBB	CRK like proto-oncogene, adaptor protein	CRKL	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6U5Y3	A0A2K6U5Y3_SAIBB	Engulfment and cell motility 1	ELMO1	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	742	DOMAIN 334..507; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6U603	A0A2K6U603_SAIBB	Engulfment and cell motility 1	ELMO1	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2K6UQJ0	A0A2K6UQJ0_SAIBB	CRK proto-oncogene, adaptor protein	CRK	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	249	DOMAIN 77..137; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 180..241; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2K6VMX8	A0A2K6VMX8_ONCVO	ELMO domain-containing protein		Onchocerca volvulus	764	DOMAIN 358..517; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2L2SQB8	A0A2L2SQB8_9HYPO	ELMO domain-containing protein		Fusarium venenatum	716	DOMAIN 259..445; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2L2YET9	A0A2L2YET9_PARTP	Engulfment and cell motility protein, putative		Parasteatoda tepidariorum (House spider) (Achaearanea tepidariorum)	719	DOMAIN 310..481; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2L2Z1B7	A0A2L2Z1B7_PARTP	Adapter molecule Crk		Parasteatoda tepidariorum (House spider) (Achaearanea tepidariorum)	55	DOMAIN 13..55; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"
A0A2M4AN54	A0A2M4AN54_9DIPT	Putative regulator of rac1 required for phagocytosis and cell migration		Anopheles triannulatus	722	DOMAIN 313..488; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2M4ANU7	A0A2M4ANU7_9DIPT	Putative crk family adapter		Anopheles triannulatus	276	DOMAIN 12..105; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 107..167; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 214..275; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2M4BW92	A0A2M4BW92_9DIPT	Putative crk family adapter		Anopheles marajoara	280	DOMAIN 12..105; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 107..167; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 218..279; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A2N1L033	A0A2N1L033_TRIHA	ELMO domain-containing protein	CI102_11937	Trichoderma harzianum (Hypocrea lixii)	707	DOMAIN 257..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2N3NHX7	A0A2N3NHX7_9PEZI	ELMO domain-containing protein	jhhlp_001314	Lomentospora prolificans	720	DOMAIN 260..444; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A2N5S648	A0A2N5S648_9BASI	ELMO domain-containing protein	PCASD_20824	Puccinia coronata f. sp. avenae	1033	DOMAIN 480..653; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
